Rental Price,Address,No of Bed,No of Bathrooms,Area,Pets Allowed,No of Beds
€775,"Sierplein 71, 1065 LN Amsterdam, Netherlands",2.0,1.0,99 Sq M,,4.0
€815,"Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,1.0,91 Sq M,,4.0
€797,"Wethouder Serrurierstraat 8, 1107 CD Amsterdam, Netherlands",2.0,1.0,80 Sq M,,3.0
"€1,450","Htel, Mont Blanc, 1186 AP Amstelveen, Netherlands",2.0,1.0,95 Sq M,,2.0
€695,"Eerste Van Swindenstraat 12-1, 1093 GC Amsterdam, Netherlands",2.0,1.0,45 Sq M,,4.0
"€4,200","Generator, Mauritskade 57, 1092 AD Amsterdam, Netherlands",2.0,1.0,96 Sq M,,5.0
"€3,778","Ditlaar 55, 1066 EE Amsterdam, Netherlands",2.0,1.0,87 Sq M,,2.0
€815,"Theodoor van Hoytemastraat 89, 1062 CG Amsterdam, Netherlands",2.0,1.0,117 Sq M,,4.0
"€4,200","1187 NZ Amstelveen, Netherlands",2.0,1.0,85 Sq M,,5.0
€575,"Osdorperweg 937, 1067 SW Amsterdam, Netherlands",2.0,1.0,30 Sq M,,4.0
€751,"1106 North Holland, Netherlands",2.0,10.0,88 Sq M,,10.0
"€2,150",,2.0,1.0,100 Sq M,,3.0
"€3,347",,2.0,1.0,431 Sq Ft,,2.0
€619,,2.0,1.0,134 Sq M,,4.0
€768,,2.0,1.0,185 Sq M,,4.0
€920,,2.0,1.0,850 Sq Ft,,4.0
"€5,629",,2.0,1.0,"2,583 Sq Ft",,2.0
€715,,2.0,1.0,,,6.0
€535,,2.0,2.0,,,8.0
"€6,800",,2.0,5.0,,,3.0
"€6,995",,2.0,1.0,,,4.0
"€1,380",,2.0,1.0,,,2.0
€719,"Maria Snelplantsoen 1, 1106 WN Amsterdam, Netherlands",2.0,1.0,200 Sq M,,5.0
"€2,290","1015 ND Amsterdam, Netherlands",2.0,4.0,212 Sq M,,4.0
"€4,124","H.J.E. Wenckebachweg 48, 1096 AN Amsterdam, Netherlands",2.0,2.0,"1,184 Sq Ft",,1.0
"€9,001","1059 North Holland, Netherlands",2.0,1.0,20 Sq M,,2.0
"€2,366","Maarten Lutherweg 284, 1185 AX Amstelveen, Netherlands",2.0,2.0,"1,291 Sq Ft",,1.0
"€7,469","Jan van Zutphenstraat 251, 1069 RR Amsterdam, Netherlands",2.0,2.0,117 Sq M,,2.0
"€4,431","1012 North Holland, Netherlands",2.0,1.0,113 Sq M,,2.0
"€1,150","Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,3.0,592 Sq Ft,,1.0
€869,"Bijlmerdreef 743, 1103 TA Amsterdam, Netherlands",2.0,1.0,646 Sq Ft,,4.0
"€5,880","1018 North Holland, Netherlands",2.0,2.0,96 Sq M,,2.0
€669,"1016 EP Amsterdam, Netherlands",2.0,1.0,92 Sq M,,4.0
"€7,329",,2.0,1.0,119 Sq M,,3.0
"€3,233",,2.0,1.0,22 Sq M,,1.0
"€9,001",,2.0,1.0,"1,184 Sq Ft",,2.0
€623,,2.0,1.0,8 Sq M,,3.0
€768,,2.0,1.0,"1,507 Sq Ft",,3.0
€579,,2.0,1.0,81 Sq M,,5.0
"€1,995",,2.0,1.0,,,2.0
"€4,320",,2.0,3.0,,,3.0
€920,,2.0,1.0,,,4.0
"€15,104",,2.0,1.0,,,2.0
€669,,2.0,1.0,,,3.0
€775,"Sierplein 71, 1065 LN Amsterdam, Netherlands",2.0,1.0,99 Sq M,,4.0
€815,"Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,1.0,91 Sq M,,4.0
€797,"Wethouder Serrurierstraat 8, 1107 CD Amsterdam, Netherlands",2.0,1.0,80 Sq M,,3.0
"€1,450","Htel, Mont Blanc, 1186 AP Amstelveen, Netherlands",2.0,1.0,95 Sq M,,2.0
€695,"Eerste Van Swindenstraat 12-1, 1093 GC Amsterdam, Netherlands",2.0,1.0,45 Sq M,,4.0
"€4,200","Generator, Mauritskade 57, 1092 AD Amsterdam, Netherlands",2.0,1.0,96 Sq M,,5.0
"€3,778","Ditlaar 55, 1066 EE Amsterdam, Netherlands",2.0,1.0,87 Sq M,,2.0
€815,"Theodoor van Hoytemastraat 89, 1062 CG Amsterdam, Netherlands",2.0,1.0,117 Sq M,,4.0
"€4,200","1187 NZ Amstelveen, Netherlands",2.0,1.0,85 Sq M,,5.0
€575,"Osdorperweg 937, 1067 SW Amsterdam, Netherlands",2.0,1.0,30 Sq M,,4.0
€751,"1106 North Holland, Netherlands",2.0,10.0,88 Sq M,,10.0
"€2,150",,2.0,1.0,100 Sq M,,3.0
"€3,347",,2.0,1.0,431 Sq Ft,,2.0
€619,,2.0,1.0,134 Sq M,,4.0
€768,,2.0,1.0,185 Sq M,,4.0
€920,,2.0,1.0,850 Sq Ft,,4.0
"€5,629",,2.0,1.0,"2,583 Sq Ft",,2.0
€715,,2.0,1.0,,,6.0
€535,,2.0,2.0,,,8.0
"€6,800",,2.0,5.0,,,3.0
"€6,995",,2.0,1.0,,,4.0
"€1,380",,2.0,1.0,,,2.0
€719,"Maria Snelplantsoen 1, 1106 WN Amsterdam, Netherlands",2.0,1.0,200 Sq M,,5.0
"€2,290","1015 ND Amsterdam, Netherlands",2.0,4.0,212 Sq M,,4.0
"€4,124","H.J.E. Wenckebachweg 48, 1096 AN Amsterdam, Netherlands",2.0,2.0,"1,184 Sq Ft",,1.0
"€9,001","1059 North Holland, Netherlands",2.0,1.0,20 Sq M,,2.0
"€2,366","Maarten Lutherweg 284, 1185 AX Amstelveen, Netherlands",2.0,2.0,"1,291 Sq Ft",,1.0
"€7,469","Jan van Zutphenstraat 251, 1069 RR Amsterdam, Netherlands",2.0,2.0,117 Sq M,,2.0
"€4,431","1012 North Holland, Netherlands",2.0,1.0,113 Sq M,,2.0
"€1,150","Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,3.0,592 Sq Ft,,1.0
€869,"Bijlmerdreef 743, 1103 TA Amsterdam, Netherlands",2.0,1.0,646 Sq Ft,,4.0
"€5,880","1018 North Holland, Netherlands",2.0,2.0,96 Sq M,,2.0
€669,"1016 EP Amsterdam, Netherlands",2.0,1.0,92 Sq M,,4.0
"€7,329",,2.0,1.0,119 Sq M,,3.0
"€3,233",,2.0,1.0,22 Sq M,,1.0
"€9,001",,2.0,1.0,"1,184 Sq Ft",,2.0
€623,,2.0,1.0,8 Sq M,,3.0
€768,,2.0,1.0,"1,507 Sq Ft",,3.0
€579,,2.0,1.0,81 Sq M,,5.0
"€1,995",,2.0,1.0,,,2.0
"€4,320",,2.0,3.0,,,3.0
€920,,2.0,1.0,,,4.0
"€15,104",,2.0,1.0,,,2.0
€669,,2.0,1.0,,,3.0
€775,"Sierplein 71, 1065 LN Amsterdam, Netherlands",2.0,1.0,99 Sq M,,4.0
€815,"Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,1.0,91 Sq M,,4.0
€797,"Wethouder Serrurierstraat 8, 1107 CD Amsterdam, Netherlands",2.0,1.0,80 Sq M,,3.0
"€1,450","Htel, Mont Blanc, 1186 AP Amstelveen, Netherlands",2.0,1.0,95 Sq M,,2.0
€695,"Eerste Van Swindenstraat 12-1, 1093 GC Amsterdam, Netherlands",2.0,1.0,45 Sq M,,4.0
"€4,200","Generator, Mauritskade 57, 1092 AD Amsterdam, Netherlands",2.0,1.0,96 Sq M,,5.0
"€3,778","Ditlaar 55, 1066 EE Amsterdam, Netherlands",2.0,1.0,87 Sq M,,2.0
€815,"Theodoor van Hoytemastraat 89, 1062 CG Amsterdam, Netherlands",2.0,1.0,117 Sq M,,4.0
"€4,200","1187 NZ Amstelveen, Netherlands",2.0,1.0,85 Sq M,,5.0
€575,"Osdorperweg 937, 1067 SW Amsterdam, Netherlands",2.0,1.0,30 Sq M,,4.0
€751,"1106 North Holland, Netherlands",2.0,10.0,88 Sq M,,10.0
"€2,150",,2.0,1.0,100 Sq M,,3.0
"€3,347",,2.0,1.0,431 Sq Ft,,2.0
€619,,2.0,1.0,134 Sq M,,4.0
€768,,2.0,1.0,185 Sq M,,4.0
€920,,2.0,1.0,850 Sq Ft,,4.0
"€5,629",,2.0,1.0,"2,583 Sq Ft",,2.0
€715,,2.0,1.0,,,6.0
€535,,2.0,2.0,,,8.0
"€6,800",,2.0,5.0,,,3.0
"€6,995",,2.0,1.0,,,4.0
"€1,380",,2.0,1.0,,,2.0
€719,"Maria Snelplantsoen 1, 1106 WN Amsterdam, Netherlands",2.0,1.0,200 Sq M,,5.0
"€2,290","1015 ND Amsterdam, Netherlands",2.0,4.0,212 Sq M,,4.0
"€4,124","H.J.E. Wenckebachweg 48, 1096 AN Amsterdam, Netherlands",2.0,2.0,"1,184 Sq Ft",,1.0
"€9,001","1059 North Holland, Netherlands",2.0,1.0,20 Sq M,,2.0
"€2,366","Maarten Lutherweg 284, 1185 AX Amstelveen, Netherlands",2.0,2.0,"1,291 Sq Ft",,1.0
"€7,469","Jan van Zutphenstraat 251, 1069 RR Amsterdam, Netherlands",2.0,2.0,117 Sq M,,2.0
"€4,431","1012 North Holland, Netherlands",2.0,1.0,113 Sq M,,2.0
"€1,150","Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,3.0,592 Sq Ft,,1.0
€869,"Bijlmerdreef 743, 1103 TA Amsterdam, Netherlands",2.0,1.0,646 Sq Ft,,4.0
"€5,880","1018 North Holland, Netherlands",2.0,2.0,96 Sq M,,2.0
€669,"1016 EP Amsterdam, Netherlands",2.0,1.0,92 Sq M,,4.0
"€7,329",,2.0,1.0,119 Sq M,,3.0
"€3,233",,2.0,1.0,22 Sq M,,1.0
"€9,001",,2.0,1.0,"1,184 Sq Ft",,2.0
€623,,2.0,1.0,8 Sq M,,3.0
€768,,2.0,1.0,"1,507 Sq Ft",,3.0
€579,,2.0,1.0,81 Sq M,,5.0
"€1,995",,2.0,1.0,,,2.0
"€4,320",,2.0,3.0,,,3.0
€920,,2.0,1.0,,,4.0
"€15,104",,2.0,1.0,,,2.0
€669,,2.0,1.0,,,3.0
€775,"Sierplein 71, 1065 LN Amsterdam, Netherlands",2.0,1.0,99 Sq M,,4.0
€815,"Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,1.0,91 Sq M,,4.0
€797,"Wethouder Serrurierstraat 8, 1107 CD Amsterdam, Netherlands",2.0,1.0,80 Sq M,,3.0
"€1,450","Htel, Mont Blanc, 1186 AP Amstelveen, Netherlands",2.0,1.0,95 Sq M,,2.0
€695,"Eerste Van Swindenstraat 12-1, 1093 GC Amsterdam, Netherlands",2.0,1.0,45 Sq M,,4.0
"€4,200","Generator, Mauritskade 57, 1092 AD Amsterdam, Netherlands",2.0,1.0,96 Sq M,,5.0
"€3,778","Ditlaar 55, 1066 EE Amsterdam, Netherlands",2.0,1.0,87 Sq M,,2.0
€815,"Theodoor van Hoytemastraat 89, 1062 CG Amsterdam, Netherlands",2.0,1.0,117 Sq M,,4.0
"€4,200","1187 NZ Amstelveen, Netherlands",2.0,1.0,85 Sq M,,5.0
€575,"Osdorperweg 937, 1067 SW Amsterdam, Netherlands",2.0,1.0,30 Sq M,,4.0
€751,"1106 North Holland, Netherlands",2.0,10.0,88 Sq M,,10.0
"€2,150",,2.0,1.0,100 Sq M,,3.0
"€3,347",,2.0,1.0,431 Sq Ft,,2.0
€619,,2.0,1.0,134 Sq M,,4.0
€768,,2.0,1.0,185 Sq M,,4.0
€920,,2.0,1.0,850 Sq Ft,,4.0
"€5,629",,2.0,1.0,"2,583 Sq Ft",,2.0
€715,,2.0,1.0,,,6.0
€535,,2.0,2.0,,,8.0
"€6,800",,2.0,5.0,,,3.0
"€6,995",,2.0,1.0,,,4.0
"€1,380",,2.0,1.0,,,2.0
€719,"Maria Snelplantsoen 1, 1106 WN Amsterdam, Netherlands",2.0,1.0,200 Sq M,,5.0
"€2,290","1015 ND Amsterdam, Netherlands",2.0,4.0,212 Sq M,,4.0
"€4,124","H.J.E. Wenckebachweg 48, 1096 AN Amsterdam, Netherlands",2.0,2.0,"1,184 Sq Ft",,1.0
"€9,001","1059 North Holland, Netherlands",2.0,1.0,20 Sq M,,2.0
"€2,366","Maarten Lutherweg 284, 1185 AX Amstelveen, Netherlands",2.0,2.0,"1,291 Sq Ft",,1.0
"€7,469","Jan van Zutphenstraat 251, 1069 RR Amsterdam, Netherlands",2.0,2.0,117 Sq M,,2.0
"€4,431","1012 North Holland, Netherlands",2.0,1.0,113 Sq M,,2.0
"€1,150","Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,3.0,592 Sq Ft,,1.0
€869,"Bijlmerdreef 743, 1103 TA Amsterdam, Netherlands",2.0,1.0,646 Sq Ft,,4.0
"€5,880","1018 North Holland, Netherlands",2.0,2.0,96 Sq M,,2.0
€669,"1016 EP Amsterdam, Netherlands",2.0,1.0,92 Sq M,,4.0
"€7,329",,2.0,1.0,119 Sq M,,3.0
"€3,233",,2.0,1.0,22 Sq M,,1.0
"€9,001",,2.0,1.0,"1,184 Sq Ft",,2.0
€623,,2.0,1.0,8 Sq M,,3.0
€768,,2.0,1.0,"1,507 Sq Ft",,3.0
€579,,2.0,1.0,81 Sq M,,5.0
"€1,995",,2.0,1.0,,,2.0
"€4,320",,2.0,3.0,,,3.0
€920,,2.0,1.0,,,4.0
"€15,104",,2.0,1.0,,,2.0
€669,,2.0,1.0,,,3.0
€775,"Sierplein 71, 1065 LN Amsterdam, Netherlands",2.0,1.0,99 Sq M,,4.0
€815,"Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,1.0,91 Sq M,,4.0
€797,"Wethouder Serrurierstraat 8, 1107 CD Amsterdam, Netherlands",2.0,1.0,80 Sq M,,3.0
"€1,450","Htel, Mont Blanc, 1186 AP Amstelveen, Netherlands",2.0,1.0,95 Sq M,,2.0
€695,"Eerste Van Swindenstraat 12-1, 1093 GC Amsterdam, Netherlands",2.0,1.0,45 Sq M,,4.0
"€4,200","Generator, Mauritskade 57, 1092 AD Amsterdam, Netherlands",2.0,1.0,96 Sq M,,5.0
"€3,778","Ditlaar 55, 1066 EE Amsterdam, Netherlands",2.0,1.0,87 Sq M,,2.0
€815,"Theodoor van Hoytemastraat 89, 1062 CG Amsterdam, Netherlands",2.0,1.0,117 Sq M,,4.0
"€4,200","1187 NZ Amstelveen, Netherlands",2.0,1.0,85 Sq M,,5.0
€575,"Osdorperweg 937, 1067 SW Amsterdam, Netherlands",2.0,1.0,30 Sq M,,4.0
€751,"1106 North Holland, Netherlands",2.0,10.0,88 Sq M,,10.0
"€2,150",,2.0,1.0,100 Sq M,,3.0
"€3,347",,2.0,1.0,431 Sq Ft,,2.0
€619,,2.0,1.0,134 Sq M,,4.0
€768,,2.0,1.0,185 Sq M,,4.0
€920,,2.0,1.0,850 Sq Ft,,4.0
"€5,629",,2.0,1.0,"2,583 Sq Ft",,2.0
€715,,2.0,1.0,,,6.0
€535,,2.0,2.0,,,8.0
"€6,800",,2.0,5.0,,,3.0
"€6,995",,2.0,1.0,,,4.0
"€1,380",,2.0,1.0,,,2.0
€719,"Maria Snelplantsoen 1, 1106 WN Amsterdam, Netherlands",2.0,1.0,200 Sq M,,5.0
"€2,290","1015 ND Amsterdam, Netherlands",2.0,4.0,212 Sq M,,4.0
"€4,124","H.J.E. Wenckebachweg 48, 1096 AN Amsterdam, Netherlands",2.0,2.0,"1,184 Sq Ft",,1.0
"€9,001","1059 North Holland, Netherlands",2.0,1.0,20 Sq M,,2.0
"€2,366","Maarten Lutherweg 284, 1185 AX Amstelveen, Netherlands",2.0,2.0,"1,291 Sq Ft",,1.0
"€7,469","Jan van Zutphenstraat 251, 1069 RR Amsterdam, Netherlands",2.0,2.0,117 Sq M,,2.0
"€4,431","1012 North Holland, Netherlands",2.0,1.0,113 Sq M,,2.0
"€1,150","Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,3.0,592 Sq Ft,,1.0
€869,"Bijlmerdreef 743, 1103 TA Amsterdam, Netherlands",2.0,1.0,646 Sq Ft,,4.0
"€5,880","1018 North Holland, Netherlands",2.0,2.0,96 Sq M,,2.0
€669,"1016 EP Amsterdam, Netherlands",2.0,1.0,92 Sq M,,4.0
"€7,329",,2.0,1.0,119 Sq M,,3.0
"€3,233",,2.0,1.0,22 Sq M,,1.0
"€9,001",,2.0,1.0,"1,184 Sq Ft",,2.0
€623,,2.0,1.0,8 Sq M,,3.0
€768,,2.0,1.0,"1,507 Sq Ft",,3.0
€579,,2.0,1.0,81 Sq M,,5.0
"€1,995",,2.0,1.0,,,2.0
"€4,320",,2.0,3.0,,,3.0
€920,,2.0,1.0,,,4.0
"€15,104",,2.0,1.0,,,2.0
€669,,2.0,1.0,,,3.0
€775,"Sierplein 71, 1065 LN Amsterdam, Netherlands",2.0,1.0,99 Sq M,,4.0
€815,"Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,1.0,91 Sq M,,4.0
€797,"Wethouder Serrurierstraat 8, 1107 CD Amsterdam, Netherlands",2.0,1.0,80 Sq M,,3.0
"€1,450","Htel, Mont Blanc, 1186 AP Amstelveen, Netherlands",2.0,1.0,95 Sq M,,2.0
€695,"Eerste Van Swindenstraat 12-1, 1093 GC Amsterdam, Netherlands",2.0,1.0,45 Sq M,,4.0
"€4,200","Generator, Mauritskade 57, 1092 AD Amsterdam, Netherlands",2.0,1.0,96 Sq M,,5.0
"€3,778","Ditlaar 55, 1066 EE Amsterdam, Netherlands",2.0,1.0,87 Sq M,,2.0
€815,"Theodoor van Hoytemastraat 89, 1062 CG Amsterdam, Netherlands",2.0,1.0,117 Sq M,,4.0
"€4,200","1187 NZ Amstelveen, Netherlands",2.0,1.0,85 Sq M,,5.0
€575,"Osdorperweg 937, 1067 SW Amsterdam, Netherlands",2.0,1.0,30 Sq M,,4.0
€751,"1106 North Holland, Netherlands",2.0,10.0,88 Sq M,,10.0
"€2,150",,2.0,1.0,100 Sq M,,3.0
"€3,347",,2.0,1.0,431 Sq Ft,,2.0
€619,,2.0,1.0,134 Sq M,,4.0
€768,,2.0,1.0,185 Sq M,,4.0
€920,,2.0,1.0,850 Sq Ft,,4.0
"€5,629",,2.0,1.0,"2,583 Sq Ft",,2.0
€715,,2.0,1.0,,,6.0
€535,,2.0,2.0,,,8.0
"€6,800",,2.0,5.0,,,3.0
"€6,995",,2.0,1.0,,,4.0
"€1,380",,2.0,1.0,,,2.0
"$3,750",2320 Windsong Trail,2.0,2.0,"1,260 Sq Ft",,3.0
"$4,995",47 Rainey Street,2.0,2.0,"2,166 Sq Ft",,4.0
"$2,110","Wells Branch, US",2.0,1.0,544 Sq Ft,,1.0
"$4,390","10112 Circle Drive, Cedar Valley, Travis County, TX 78736, USA",2.0,2.0,"1,229 Sq Ft",,2.0
"$1,330",47 Rainey Street,2.0,2.0,"1,109 Sq Ft",,2.0
"$3,300","13400 Clerk Street, Pflugerville, TX 78660, USA",2.0,2.0,988 Sq Ft,,2.0
"$8,400","3213 Jewelfish Cove, Travis County, TX 78728, USA",2.0,4.5,"4,381 Sq Ft",,4.0
"$3,100",5916 Kevin Kelly Place,2.0,2.0,"1,380 Sq Ft",,4.0
"$2,354","2500 Burleson Road, Austin, TX 78741, USA",2.0,1.0,729 Sq Ft,,1.0
"$7,000",111 Sandra Muraida Way,2.0,2.5,"1,423 Sq Ft",,2.0
"$2,300","Austin, TX",2.0,2.0,"1,472 Sq Ft",,3.0
"$1,190",,2.0,2.0,"1,040 Sq Ft",,2.0
"$2,200",,2.0,2.0,"1,632 Sq Ft",,3.0
"$1,995",,2.0,2.0,"1,250 Sq Ft",,3.0
"$1,780",,2.0,1.0,390 Sq Ft,,2.0
$975,,2.0,1.0,499 Sq Ft,,2.0
$875,,2.0,1.0,"1,302 Sq Ft",,1.0
"$3,200",,2.0,1.5,"1,079 Sq Ft",,2.0
"$3,995",,2.0,1.0,547 Sq Ft,,1.0
"$2,820",,2.0,1.0,592 Sq Ft,,1.0
"$1,920",,2.0,1.0,"2,500 Sq Ft",,1.0
"$58,950",,2.0,5.0,,,7.0
"$13,830","Austin, TX",2.0,2.0,"2,056 Sq Ft",,4.0
"$2,075","7400 Longford Trail, Austin, TX 78754, USA",2.0,2.0,"2,014 Sq Ft",,2.0
"$2,295","4612 Bennett Avenue, Austin, TX 78751, USA",2.0,1.0,699 Sq Ft,,3.0
"$2,300","1908 East 9th Street, Austin, TX 78702, USA",2.0,2.0,922 Sq Ft,,1.0
"$2,900","Austin, TX",2.0,1.0,632 Sq Ft,,3.0
"$1,065","ΦΚΣ, 2402 Rio Grande Street, Austin, TX 78705, USA",2.0,2.0,"1,400 Sq Ft",,1.0
"$2,095","Austin, TX",2.0,2.5,"5,079 Sq Ft",,3.0
"$1,795","2520 Longview Street, Austin, TX 78705, USA",2.0,1.0,319 Sq Ft,,3.0
"$4,470","5504 Longhorn Landing, Hudson Bend, Travis County, TX 78734, USA",2.0,4.5,"1,752 Sq Ft",,1.0
"$5,750","908 Rocking Spur Cove, Travis County, TX 78766, USA",2.0,1.0,"2,200 Sq Ft",,5.0
"$1,185","Austin, US",2.0,2.5,523 Sq Ft,,2.0
"$3,190",,2.0,3.0,"1,161 Sq Ft",,3.0
"$23,970",,2.0,1.0,"1,900 Sq Ft",,4.0
"$1,861",,2.0,2.0,"2,101 Sq Ft",,2.0
"$3,175",,2.0,3.0,"1,851 Sq Ft",,2.0
"$9,120",,2.0,2.0,980 Sq Ft,,3.0
"$3,000",,2.0,2.0,654 Sq Ft,,3.0
"$2,300",,2.0,2.0,820 Sq Ft,,4.0
"$2,100",,2.0,1.5,,,3.0
"$2,200",,2.0,1.0,,,3.0
$810,,2.0,2.0,,,1.0
"$1,950",,2.0,1.0,,,2.0
"$3,750",2320 Windsong Trail,2.0,2.0,"1,260 Sq Ft",,3.0
"$4,995",47 Rainey Street,2.0,2.0,"2,166 Sq Ft",,4.0
"$2,110","Wells Branch, US",2.0,1.0,544 Sq Ft,,1.0
"$4,390","10112 Circle Drive, Cedar Valley, Travis County, TX 78736, USA",2.0,2.0,"1,229 Sq Ft",,2.0
"$1,330",47 Rainey Street,2.0,2.0,"1,109 Sq Ft",,2.0
"$3,300","13400 Clerk Street, Pflugerville, TX 78660, USA",2.0,2.0,988 Sq Ft,,2.0
"$8,400","3213 Jewelfish Cove, Travis County, TX 78728, USA",2.0,4.5,"4,381 Sq Ft",,4.0
"$3,100",5916 Kevin Kelly Place,2.0,2.0,"1,380 Sq Ft",,4.0
"$2,354","2500 Burleson Road, Austin, TX 78741, USA",2.0,1.0,729 Sq Ft,,1.0
"$7,000",111 Sandra Muraida Way,2.0,2.5,"1,423 Sq Ft",,2.0
"$2,300","Austin, TX",2.0,2.0,"1,472 Sq Ft",,3.0
"$1,190",,2.0,2.0,"1,040 Sq Ft",,2.0
"$2,200",,2.0,2.0,"1,632 Sq Ft",,3.0
"$1,995",,2.0,2.0,"1,250 Sq Ft",,3.0
"$1,780",,2.0,1.0,390 Sq Ft,,2.0
$975,,2.0,1.0,499 Sq Ft,,2.0
$875,,2.0,1.0,"1,302 Sq Ft",,1.0
"$3,200",,2.0,1.5,"1,079 Sq Ft",,2.0
"$3,995",,2.0,1.0,547 Sq Ft,,1.0
"$2,820",,2.0,1.0,592 Sq Ft,,1.0
"$1,920",,2.0,1.0,"2,500 Sq Ft",,1.0
"$58,950",,2.0,5.0,,,7.0
"$13,830","Austin, TX",2.0,2.0,"2,056 Sq Ft",,4.0
"$2,075","7400 Longford Trail, Austin, TX 78754, USA",2.0,2.0,"2,014 Sq Ft",,2.0
"$2,295","4612 Bennett Avenue, Austin, TX 78751, USA",2.0,1.0,699 Sq Ft,,3.0
"$2,300","1908 East 9th Street, Austin, TX 78702, USA",2.0,2.0,922 Sq Ft,,1.0
"$2,900","Austin, TX",2.0,1.0,632 Sq Ft,,3.0
"$1,065","ΦΚΣ, 2402 Rio Grande Street, Austin, TX 78705, USA",2.0,2.0,"1,400 Sq Ft",,1.0
"$2,095","Austin, TX",2.0,2.5,"5,079 Sq Ft",,3.0
"$1,795","2520 Longview Street, Austin, TX 78705, USA",2.0,1.0,319 Sq Ft,,3.0
"$4,470","5504 Longhorn Landing, Hudson Bend, Travis County, TX 78734, USA",2.0,4.5,"1,752 Sq Ft",,1.0
"$5,750","908 Rocking Spur Cove, Travis County, TX 78766, USA",2.0,1.0,"2,200 Sq Ft",,5.0
"$1,185","Austin, US",2.0,2.5,523 Sq Ft,,2.0
"$3,190",,2.0,3.0,"1,161 Sq Ft",,3.0
"$23,970",,2.0,1.0,"1,900 Sq Ft",,4.0
"$1,861",,2.0,2.0,"2,101 Sq Ft",,2.0
"$3,175",,2.0,3.0,"1,851 Sq Ft",,2.0
"$9,120",,2.0,2.0,980 Sq Ft,,3.0
"$3,000",,2.0,2.0,654 Sq Ft,,3.0
"$2,300",,2.0,2.0,820 Sq Ft,,4.0
"$2,100",,2.0,1.5,,,3.0
"$2,200",,2.0,1.0,,,3.0
$810,,2.0,2.0,,,1.0
"$1,950",,2.0,1.0,,,2.0
"$3,750",2320 Windsong Trail,2.0,2.0,"1,260 Sq Ft",,3.0
"$4,995",47 Rainey Street,2.0,2.0,"2,166 Sq Ft",,4.0
"$2,110","Wells Branch, US",2.0,1.0,544 Sq Ft,,1.0
"$4,390","10112 Circle Drive, Cedar Valley, Travis County, TX 78736, USA",2.0,2.0,"1,229 Sq Ft",,2.0
"$1,330",47 Rainey Street,2.0,2.0,"1,109 Sq Ft",,2.0
"$3,300","13400 Clerk Street, Pflugerville, TX 78660, USA",2.0,2.0,988 Sq Ft,,2.0
